date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:33	785302/785302	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:11%20GMT	https://www.classcentral.com/subject/entrepreneurship	E:/juned/www.classcentral.com/www.classcentral.com/subject/entrepreneurship.html	(from https://www.classcentral.com/)
07:41:44	808127/808127	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:23%20GMT	https://www.classcentral.com/subject/marketing	E:/juned/www.classcentral.com/www.classcentral.com/subject/marketing.html	(from https://www.classcentral.com/)
07:41:45	804504/804504	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:22%20GMT	https://www.classcentral.com/subject/strategic-management	E:/juned/www.classcentral.com/www.classcentral.com/subject/strategic-management.html	(from https://www.classcentral.com/)
07:41:55	770400/770400	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:34%20GMT	https://www.classcentral.com/subject/industry-specific	E:/juned/www.classcentral.com/www.classcentral.com/subject/industry-specific.html	(from https://www.classcentral.com/)
07:42:05	780843/780843	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:45%20GMT	https://www.classcentral.com/subject/accounting	E:/juned/www.classcentral.com/www.classcentral.com/subject/accounting.html	(from https://www.classcentral.com/)
07:42:06	777281/777281	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:45%20GMT	https://www.classcentral.com/subject/business-intelligence	E:/juned/www.classcentral.com/www.classcentral.com/subject/business-intelligence.html	(from https://www.classcentral.com/)
07:42:16	761490/761490	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:11:55%20GMT	https://www.classcentral.com/subject/human-resources	E:/juned/www.classcentral.com/www.classcentral.com/subject/human-resources.html	(from https://www.classcentral.com/)
07:42:27	779246/779246	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:06%20GMT	https://www.classcentral.com/subject/project-management	E:/juned/www.classcentral.com/www.classcentral.com/subject/project-management.html	(from https://www.classcentral.com/)
07:42:28	762605/762605	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:07%20GMT	https://www.classcentral.com/subject/sales	E:/juned/www.classcentral.com/www.classcentral.com/subject/sales.html	(from https://www.classcentral.com/)
07:42:37	764475/764475	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:17%20GMT	https://www.classcentral.com/subject/design-thinking	E:/juned/www.classcentral.com/www.classcentral.com/subject/design-thinking.html	(from https://www.classcentral.com/)
